spectrum_path,valid_fraction
DeMeo2009data_gp/a000043.sp48.txt,1.0000
DeMeo2009data_gp/a000048.sp45.txt,1.0000
DeMeo2009data_gp/a000050.sp23.txt,1.0000
DeMeo2009data_gp/a000058.sp24.txt,1.0000
DeMeo2009data_gp/a000065.sp25.txt,1.0000
DeMeo2009data_gp/a000069.sp40.txt,1.0000
DeMeo2009data_gp/a000076.sp44.txt,1.0000
DeMeo2009data_gp/a000082.sp08.txt,1.0000
DeMeo2009data_gp/a000087.sp44.txt,1.0000
DeMeo2009data_gp/a000092.sp02.txt,1.0000
DeMeo2009data_gp/a000096.sp49.txt,1.0000
DeMeo2009data_gp/a000099.sp47.txt,1.0000
DeMeo2009data_gp/a000110.sp03.txt,1.0000
DeMeo2009data_gp/a000119.sp06.txt,1.0000
DeMeo2009data_gp/a000131.sp53.txt,1.0000
DeMeo2009data_gp/a000132.sp44.txt,1.0000
DeMeo2009data_gp/a000192.sp50.txt,1.0000
DeMeo2009data_gp/a000199.sp21.txt,1.0000
DeMeo2009data_gp/a000201.sp28.txt,1.0000
DeMeo2009data_gp/a000214.sp33.txt,1.0000
DeMeo2009data_gp/a000216.sp15.txt,1.0000
DeMeo2009data_gp/a000233.sp18.txt,1.0000
DeMeo2009data_gp/a000250.sp26.txt,1.0000
